Cafe Name,Outdoor Seating,Indoor Seating,Latitude,Longitude,Orientation,Date,Day of Year,Time of Day,Sunrise Time,Sunset Time,Solar Angle (°),Temperature (°C),Humidity (%),Cloud Cover (%),Sunshine Duration (min),Wind Speed (km/h),Weather Condition,Is Cloudy,Sunlight Status
Café Cabin,Yes,Yes,49.408295,8.664596,South,2025-01-17,17,17:30,04:06,22:23,0.0,11.1,90,99,0,0.0,Clear,Yes,Sunny
Cafe Sun,Yes,No,49.398155,8.672066,East,2024-02-01,32,17:45,04:15,22:14,0.0,12.3,52,87,0,10.3,Rain,Yes,Shady
Bloom Brew House,No,No,49.390324,8.662501,West,2025-02-23,54,14:00,04:33,21:56,0.0,15.8,78,95,0,4.4,Fog,Yes,Sunny
Porch Coffee,Yes,No,49.408383,8.669451,West,2024-09-01,245,06:15,05:18,21:11,0.0,7.1,74,89,0,6.4,Clear,Yes,Sunny
The Nook Cafe,No,No,49.396729,8.679614,East,2024-02-19,50,13:30,04:29,22:00,0.0,21.2,57,92,0,8.7,Cloudy,Yes,Shady
Cafe de Cloud,No,No,49.401857,8.67179,North,2024-02-01,32,10:45,04:15,22:14,0.0,8.1,73,1,60,7.0,Clear,No,Sunny
Cafe de Frame,No,Yes,49.388544,8.676318,East,2023-08-31,243,10:45,05:20,21:09,25.67,12.9,69,86,0,1.3,Fog,Yes,Sunny
Indigo Beans,Yes,Yes,49.39672,8.665019,South,2023-06-24,175,13:15,05:59,20:30,86.75,16.8,58,8,57,10.4,Cloudy,No,Sunny
Brook Brew House,Yes,Yes,49.397274,8.668746,South,2024-03-02,62,20:00,04:40,21:49,13.72,15.1,71,19,40,0.4,Rain,No,Sunny
Soho Brew House,No,Yes,49.403912,8.663782,South,2024-04-09,100,14:00,05:19,21:10,26.31,19.4,82,52,6,12.5,Clear,Yes,Shady
Star Brew House,No,No,49.391527,8.676828,South,2024-02-08,39,16:30,04:20,22:09,0.0,10.5,41,73,0,10.5,Cloudy,Yes,Sunny
Café Brew,No,Yes,49.393903,8.676884,West,2023-08-21,233,09:00,05:29,21:00,30.95,11.8,53,77,0,1.3,Clear,Yes,Sunny
The Cabin Cafe,Yes,No,49.40104,8.668221,North,2024-06-02,154,09:30,05:57,20:32,60.85,11.7,54,57,0,10.0,Rain,Yes,Sunny
Studio Brew House,Yes,Yes,49.394268,8.667179,South,2025-01-18,18,14:15,04:07,22:22,0.0,21.0,67,41,24,1.2,Fog,No,Sunny
Vienna Espresso,No,Yes,49.399625,8.675597,West,2023-08-29,241,15:30,05:22,21:07,23.02,23.5,77,36,27,0.2,Fog,No,Shady
Verse Coffee,No,Yes,49.406529,8.674806,North,2023-07-03,184,07:00,05:58,20:31,22.73,12.6,58,37,19,4.6,Cloudy,No,Shady
Cloud Brew House,Yes,No,49.397061,8.669952,West,2024-01-13,13,16:15,04:04,22:25,0.0,14.9,87,32,27,0.5,Clear,No,Sunny
Alba Coffee,Yes,Yes,49.395413,8.67681,North,2025-03-16,75,17:00,04:54,21:35,0.0,9.9,49,69,0,14.2,Clear,Yes,Shady
Cliff Coffee,No,No,49.403312,8.676639,East,2024-09-08,252,06:15,05:11,21:18,0.0,10.2,64,55,0,3.8,Clear,Yes,Shady
Cafe de Oak,No,No,49.402769,8.666032,North,2024-04-24,115,12:15,05:33,20:56,51.0,15.8,46,72,0,10.5,Rain,Yes,Sunny
Oak Coffee,Yes,Yes,49.398699,8.671064,West,2024-01-14,14,19:45,04:05,22:24,21.13,17.1,88,27,35,12.5,Cloudy,No,Sunny
Obsidian Brew House,No,Yes,49.398554,8.661812,North,2023-10-27,300,14:45,04:24,22:05,0.0,17.7,58,94,0,4.5,Clear,Yes,Shady
Silk Beans,No,No,49.402239,8.674044,East,2023-12-09,343,06:45,04:01,22:28,0.0,21.9,43,57,0,12.7,Clear,Yes,Shady
Borough Café,Yes,No,49.401388,8.676043,West,2023-08-19,231,08:15,05:31,20:58,23.22,10.4,42,56,14,6.9,Cloudy,Yes,Shady
Alcove Coffee,No,No,49.407954,8.66601,East,2024-08-02,215,12:00,05:44,20:45,65.66,18.7,63,94,0,15.0,Rain,Yes,Sunny
Sky Café,No,No,49.391724,8.671911,West,2024-05-25,146,08:45,05:54,20:35,40.82,16.3,76,84,0,7.1,Fog,Yes,Sunny
Café Alcove,Yes,Yes,49.402385,8.670691,South,2025-04-25,115,16:45,05:33,20:56,25.5,13.8,48,68,0,13.4,Clear,Yes,Sunny
Cafe Elm,Yes,Yes,49.405757,8.672679,North,2025-01-05,5,14:30,04:02,22:27,0.0,20.6,57,86,0,12.9,Cloudy,Yes,Sunny
Crema Espresso,Yes,No,49.395826,8.67648,South,2025-01-30,30,16:00,04:14,22:15,0.0,16.5,64,68,0,11.8,Clear,Yes,Shady
Quay Roasters,Yes,Yes,49.403658,8.668238,South,2024-07-13,195,15:45,05:55,20:34,58.39,24.6,85,93,0,11.1,Fog,Yes,Sunny
Café Marble,Yes,Yes,49.402517,8.672082,South,2025-03-19,78,19:45,04:57,21:32,0.8,16.9,58,81,0,0.7,Fog,Yes,Sunny
The Maple Cafe,No,Yes,49.392175,8.676066,West,2024-08-07,220,17:45,05:40,20:49,15.56,16.7,62,38,29,14.5,Rain,No,Sunny
Obsidian Espresso,Yes,Yes,49.411628,8.670011,East,2023-07-12,193,09:15,05:56,20:33,59.23,10.9,84,18,34,5.6,Cloudy,No,Sunny
Heidel Coffee,No,Yes,49.394536,8.673004,East,2024-08-02,215,08:30,05:44,20:45,32.83,8.7,54,48,15,1.2,Rain,No,Sunny
Cafe de Willow,No,No,49.404616,8.682908,East,2023-10-01,274,12:30,04:48,21:41,0.0,16.2,89,34,28,1.6,Clear,No,Sunny
Cafe Alba,Yes,Yes,49.393672,8.670496,North,2023-07-16,197,13:00,05:54,20:35,78.53,19.6,83,87,0,9.3,Clear,Yes,Sunny
Bay Beans,No,Yes,49.40028,8.674755,East,2023-10-25,298,15:30,04:26,22:03,0.0,26.5,44,34,23,6.2,Cloudy,No,Sunny
Choco Brew House,Yes,Yes,49.394402,8.671612,East,2024-08-21,234,17:30,05:28,21:01,10.98,16.5,69,7,60,9.6,Clear,No,Shady
Den Beans,No,Yes,49.403978,8.669034,South,2023-09-01,244,17:30,05:19,21:10,7.29,13.8,85,27,27,4.2,Clear,No,Shady
Moon Espresso,Yes,Yes,49.403235,8.684415,East,2024-03-13,73,09:30,04:52,21:37,0.0,20.6,45,73,0,8.9,Rain,Yes,Sunny
Brook Café,Yes,Yes,49.397726,8.673767,North,2025-04-29,119,12:45,05:36,20:53,55.98,20.1,65,89,0,14.5,Fog,Yes,Shady
Bloom Café,Yes,Yes,49.393217,8.67162,West,2024-01-09,9,06:00,04:03,22:26,0.0,18.8,62,76,0,8.5,Rain,Yes,Sunny
The Quay Cafe,No,Yes,49.39171,8.671549,East,2024-09-17,261,11:15,05:02,21:27,2.24,17.5,90,97,0,3.7,Clear,Yes,Sunny
Frame Brew House,No,No,49.397709,8.673101,West,2024-11-07,312,10:15,04:15,22:14,0.0,11.6,57,3,57,8.8,Cloudy,No,Shady
Cafe de Verse,No,Yes,49.399914,8.671816,South,2025-03-30,89,20:00,05:08,21:21,0.0,10.0,52,96,0,2.2,Clear,Yes,Sunny
Coral Roasters,No,No,49.404346,8.670416,West,2024-03-06,66,07:30,04:44,21:45,0.0,15.3,56,57,0,2.4,Fog,Yes,Sunny
Cafe de Cliff,No,No,49.396718,8.683125,East,2024-06-08,160,11:30,05:58,20:31,85.31,19.1,47,84,0,4.8,Rain,Yes,Sunny
Café Espresso,Yes,Yes,49.394862,8.669467,West,2023-05-31,151,07:15,05:56,20:33,21.89,7.2,87,36,29,4.0,Rain,No,Sunny
Nest Roasters,Yes,Yes,49.398709,8.683013,South,2024-10-12,286,13:30,04:37,21:52,0.0,16.6,63,54,9,2.7,Clear,Yes,Sunny
Hazel Brew House,No,No,49.407605,8.679946,South,2024-09-20,264,14:15,04:59,21:30,0.0,19.3,67,48,21,13.6,Rain,No,Sunny
The Onyx Cafe,Yes,Yes,49.394679,8.66217,North,2025-01-29,29,07:45,04:13,22:16,0.0,19.2,74,0,62,7.1,Clear,No,Shady
Indigo Café,No,No,49.396444,8.67096,East,2025-05-16,136,13:30,05:48,20:41,71.41,18.3,52,77,0,14.9,Rain,Yes,Sunny
The Indigo Cafe,No,No,49.396643,8.6704,South,2024-08-18,231,16:45,05:31,20:58,23.22,13.2,59,52,13,7.3,Cloudy,Yes,Sunny
Verse Beans,No,Yes,49.399679,8.674252,West,2023-10-27,300,19:30,04:24,22:05,14.01,17.1,72,52,4,6.3,Cloudy,Yes,Sunny
Crema Beans,No,Yes,49.393973,8.676629,North,2024-06-06,158,14:15,05:58,20:31,75.92,17.6,72,27,38,10.3,Clear,No,Shady
Choco Café,Yes,No,49.392311,8.673447,West,2025-03-25,84,10:15,05:03,21:26,5.36,15.6,84,35,20,0.4,Clear,No,Sunny
Cafe de Velvet,Yes,Yes,49.407627,8.67834,North,2025-03-11,70,16:45,04:48,21:41,0.0,15.6,48,93,0,11.3,Rain,Yes,Sunny
Nest Brew House,Yes,No,49.393935,8.680139,South,2024-05-10,131,08:30,05:45,20:44,34.62,16.1,89,44,15,13.3,Rain,No,Sunny
Atelier Coffee,Yes,Yes,49.391344,8.667634,West,2024-10-21,295,18:00,04:28,22:01,0.0,17.5,45,84,0,7.1,Rain,Yes,Shady
The Elm Cafe,No,No,49.410769,8.674103,East,2023-07-30,211,13:00,05:46,20:43,67.36,15.1,46,49,20,14.9,Clear,No,Sunny
Vienna Coffee,No,Yes,49.394143,8.677137,South,2023-07-12,193,12:15,05:56,20:33,83.77,19.9,47,70,0,6.5,Rain,Yes,Sunny
The Indigo Cafe,No,Yes,49.396227,8.670464,South,2024-12-09,344,16:45,04:00,22:29,0.0,9.6,88,89,0,1.8,Fog,Yes,Sunny
The Nest Cafe,No,Yes,49.40072,8.67337,South,2025-03-06,65,09:15,04:43,21:46,0.0,9.1,75,47,21,12.1,Rain,No,Shady
Cinnamon Café,Yes,No,49.410037,8.679906,South,2025-05-19,139,17:30,05:50,20:39,19.8,22.1,60,58,4,11.2,Rain,Yes,Sunny
Cafe de Latte,Yes,No,49.406917,8.664972,North,2023-08-02,214,14:00,05:44,20:45,57.77,21.5,65,74,0,7.8,Rain,Yes,Sunny
The Vine Cafe,No,No,49.395646,8.674681,West,2024-02-06,37,12:00,04:18,22:11,0.0,18.4,69,16,34,11.4,Clear,No,Sunny
Café Hill,Yes,Yes,49.394386,8.669607,South,2023-08-24,236,12:15,05:27,21:02,39.65,14.9,64,32,18,5.8,Fog,No,Sunny
Cafe de Cloud,No,No,49.386757,8.663621,North,2025-05-29,149,17:15,05:55,20:34,21.61,16.7,60,54,7,3.3,Clear,Yes,Sunny
Frame Espresso,Yes,Yes,49.397271,8.674676,West,2024-05-08,129,13:45,05:44,20:45,64.94,18.5,82,24,46,1.6,Cloudy,No,Sunny
Cafe de Brook,No,No,49.390232,8.670203,North,2024-11-01,306,08:15,04:19,22:10,0.0,11.2,85,86,0,7.3,Fog,Yes,Sunny
Grove Espresso,No,No,49.394464,8.67536,North,2024-08-26,239,06:45,05:24,21:05,0.0,14.3,53,14,38,11.0,Cloudy,No,Sunny
Heidel Roasters,No,No,49.399901,8.679016,North,2023-07-12,193,20:45,05:56,20:33,0.0,14.8,69,31,32,9.9,Clear,No,Shady
